emotion_label,emotion_intensity,label_time,label_state
'Calm',66,1666161135400,'continue'
'Calm',69,1666161135466,'continue'
'Calm',72,1666161135516,'continue'
'Calm',75,1666161135550,'continue'
'Calm',77,1666161135567,'continue'
'Calm',81,1666161135600,'continue'
'Calm',84,1666161135650,'continue'
'Calm',87,1666161135684,'continue'
'Calm',90,1666161135717,'continue'
'Calm',92,1666161135784,'continue'
'Calm',89,1666161136202,'continue'
'Calm',87,1666161136285,'continue'
'Calm',85,1666161137171,'continue'
'Calm',83,1666161138157,'continue'
'Calm',81,1666161138407,'continue'
'Calm',80,1666161138441,'continue'
'Calm',79,1666161138475,'continue'
'Calm',77,1666161138525,'continue'
'Calm',75,1666161138557,'continue'
'Calm',74,1666161138591,'continue'
'Calm',73,1666161138674,'continue'
'Calm',71,1666161138758,'continue'
'Calm',69,1666161138825,'continue'
'Calm',67,1666161138892,'continue'
'Calm',65,1666161138958,'continue'
'Calm',62,1666161139059,'continue'
'Calm',60,1666161139126,'continue'
'Calm',58,1666161139193,'continue'
'Calm',57,1666161139225,'continue'
'Calm',57,1666161139293,'end'
'Joy',56,1666161139293,'start'
'Joy',56,1666161139293,'continue'
'Joy',55,1666161139327,'continue'
'Joy',53,1666161139393,'continue'
'Joy',52,1666161139477,'continue'
'Joy',51,1666161141248,'continue'
'Joy',53,1666161143326,'continue'
'Joy',56,1666161143448,'continue'
'Joy',58,1666161143483,'continue'
'Joy',61,1666161143587,'continue'
'Joy',64,1666161148283,'continue'
'Joy',66,1666161153447,'continue'
'Joy',62,1666161162467,'continue'
'Joy',57,1666161162584,'continue'
'Joy',54,1666161162655,'continue'
'Joy',51,1666161162768,'continue'
'Joy',48,1666161162852,'continue'
'Joy',46,1666161162986,'continue'
'Joy',46,1666161163035,'continue'
'Joy',46,1666161163086,'continue'
'Joy',47,1666161163169,'continue'
'Joy',47,1666161163353,'end'
'Calm',49,1666161163353,'start'
'Calm',49,1666161163353,'continue'
'Calm',50,1666161163403,'continue'
'Calm',53,1666161163470,'continue'
'Calm',56,1666161163536,'continue'
