client_time,device_time,data_type,data_value
1666161237780,570567,'LIGHT',929.99
1666161237781,570573,'CO2',1656.0
1666161243920,576698,'TEMPERATURE',18.76
1666161243922,576699,'HUMIDITY',65.18
1666161244019,576708,'LIGHT',929.99
1666161244066,576713,'CO2',1656.0
1666161250064,582838,'TEMPERATURE',18.76
1666161250112,582839,'HUMIDITY',65.18
1666161250164,582848,'LIGHT',930.83
1666161250165,582855,'CO2',1656.0
1666161256213,588980,'TEMPERATURE',18.76
1666161256213,588981,'HUMIDITY',65.18
1666161256254,588990,'LIGHT',929.99
1666161256303,588997,'CO2',1657.0
1666161262350,595122,'TEMPERATURE',18.76
1666161262351,595123,'HUMIDITY',65.18
1666161262353,595132,'LIGHT',929.99
1666161262396,595139,'CO2',1656.0
1666161268490,601264,'TEMPERATURE',18.76
1666161268540,601265,'HUMIDITY',65.18
1666161268541,601274,'LIGHT',930.83
1666161268637,601281,'CO2',1654.0
1666161274684,607406,'TEMPERATURE',18.76
1666161274685,607407,'HUMIDITY',65.18
1666161274686,607416,'LIGHT',929.99
1666161274731,607423,'CO2',1653.0
1666161280782,613548,'TEMPERATURE',18.76
1666161280824,613549,'HUMIDITY',65.18
1666161280826,613558,'LIGHT',932.49
1666161280827,613565,'CO2',1652.0
1666161286919,619690,'TEMPERATURE',18.76
1666161286921,619691,'HUMIDITY',65.18
1666161286922,619700,'LIGHT',930.83
1666161286923,619707,'CO2',1650.0
1666161293063,625832,'TEMPERATURE',18.76
1666161293109,625833,'HUMIDITY',65.18
1666161293110,625842,'LIGHT',930.83
1666161293162,625849,'CO2',1648.0
1666161299203,631974,'TEMPERATURE',18.76
1666161299204,631975,'HUMIDITY',65.18
1666161299205,631984,'LIGHT',929.99
1666161299206,631991,'CO2',1648.0
1666161305346,638116,'TEMPERATURE',18.76
1666161305347,638117,'HUMIDITY',65.18
1666161305348,638126,'LIGHT',932.49
1666161305349,638133,'CO2',1648.0
1666161311488,644258,'TEMPERATURE',18.76
1666161311490,644259,'HUMIDITY',65.18
1666161311491,644268,'LIGHT',930.83
1666161311492,644275,'CO2',1648.0
1666161317737,650399,'TEMPERATURE',18.76
1666161317738,650400,'HUMIDITY',65.18
1666161317739,650409,'LIGHT',931.66
1666161317741,650416,'CO2',1647.0
1666161323773,656541,'TEMPERATURE',18.76
1666161323822,656542,'HUMIDITY',65.18
1666161323823,656551,'LIGHT',933.33
1666161323874,656556,'CO2',1648.0
1666161329916,662681,'TEMPERATURE',18.76
1666161329917,662682,'HUMIDITY',65.18
1666161329918,662691,'LIGHT',931.66
1666161329921,662698,'CO2',1648.0
1666161336056,668823,'TEMPERATURE',18.76
1666161336058,668824,'HUMIDITY',65.18
1666161336059,668833,'LIGHT',930.83
1666161336060,668840,'CO2',1650.0
1666161342201,674965,'TEMPERATURE',18.76
1666161342304,674966,'HUMIDITY',65.18
1666161342305,674975,'LIGHT',931.66
1666161342306,674982,'CO2',1651.0
1666161348390,681107,'TEMPERATURE',18.76
1666161348440,681108,'HUMIDITY',65.18
1666161348489,681117,'LIGHT',931.66
1666161348490,681124,'CO2',1651.0
1666161354485,687249,'TEMPERATURE',18.76
1666161354486,687250,'HUMIDITY',65.18
1666161354487,687259,'LIGHT',929.99
1666161354488,687266,'CO2',1651.0
1666161360628,693391,'TEMPERATURE',18.76
1666161360629,693392,'HUMIDITY',65.18
1666161360630,693401,'LIGHT',929.99
1666161360632,693408,'CO2',1652.0
1666161366819,699533,'TEMPERATURE',18.76
1666161366868,699534,'HUMIDITY',65.18
1666161366869,699543,'LIGHT',931.66
1666161366870,699550,'CO2',1652.0
1666161373010,705674,'TEMPERATURE',18.76
1666161373011,705675,'HUMIDITY',65.18
1666161373012,705684,'LIGHT',929.99
1666161373013,705691,'CO2',1649.0
1666161379056,711815,'TEMPERATURE',18.76
1666161379057,711816,'HUMIDITY',65.18
1666161379058,711825,'LIGHT',929.99
1666161379059,711832,'CO2',1646.0
1666161385198,717956,'TEMPERATURE',18.76
1666161385248,717957,'HUMIDITY',65.18
1666161385250,717966,'LIGHT',930.83
1666161385251,717973,'CO2',1646.0
1666161391388,724098,'TEMPERATURE',18.76
1666161391451,724099,'HUMIDITY',65.18
1666161391453,724108,'LIGHT',929.99
1666161391454,724115,'CO2',1641.0
1666161397579,730239,'TEMPERATURE',18.76
1666161397630,730240,'HUMIDITY',65.18
1666161397632,730249,'LIGHT',930.83
1666161397633,730254,'CO2',1641.0
1666161403682,736379,'TEMPERATURE',18.76
1666161403684,736380,'HUMIDITY',65.18
1666161403685,736389,'LIGHT',929.99
1666161403686,736394,'CO2',1641.0
1666161409767,742519,'TEMPERATURE',18.76
1666161409769,742520,'HUMIDITY',65.18
1666161409865,742529,'LIGHT',930.83
1666161409866,742536,'CO2',1635.0
1666161415909,748661,'TEMPERATURE',18.76
1666161415911,748662,'HUMIDITY',65.18
1666161415911,748671,'LIGHT',931.66
1666161415912,748678,'CO2',1623.0
1666161422052,754803,'TEMPERATURE',18.76
1666161422101,754804,'HUMIDITY',65.18
1666161422150,754812,'LIGHT',929.99
1666161422152,754819,'CO2',1625.0
1666161428262,760944,'TEMPERATURE',18.76
1666161428292,760945,'HUMIDITY',65.18
1666161428294,760953,'LIGHT',929.99
1666161428295,760959,'CO2',1628.0
1666161434288,767083,'TEMPERATURE',18.76
1666161434386,767084,'HUMIDITY',65.18
1666161434436,767092,'LIGHT',930.83
1666161434484,767098,'CO2',1627.0
1666161440432,773222,'TEMPERATURE',18.76
1666161440433,773223,'HUMIDITY',65.18
1666161440434,773230,'LIGHT',931.66
1666161440482,773240,'CO2',1634.0
1666161446573,779364,'TEMPERATURE',18.76
1666161446575,779365,'HUMIDITY',65.18
1666161446623,779372,'LIGHT',929.99
1666161446624,779381,'CO2',1634.0
1666161452716,785506,'TEMPERATURE',18.76
1666161452718,785507,'HUMIDITY',65.18
1666161452719,785514,'LIGHT',929.99
1666161452764,785524,'CO2',1635.0
1666161458858,791648,'TEMPERATURE',18.76
1666161458907,791649,'HUMIDITY',65.18
1666161458908,791656,'LIGHT',932.49
1666161458909,791663,'CO2',1634.0
1666161465002,797788,'TEMPERATURE',18.76
1666161465005,797789,'HUMIDITY',65.18
1666161465007,797798,'LIGHT',929.99
1666161465049,797803,'CO2',1639.0
1666161471142,803928,'TEMPERATURE',18.76
1666161471145,803929,'HUMIDITY',65.18
1666161471147,803938,'LIGHT',929.99
1666161471192,803944,'CO2',1639.0
1666161477286,810069,'TEMPERATURE',18.76
1666161477288,810070,'HUMIDITY',65.18
1666161477289,810079,'LIGHT',929.99
1666161477290,810085,'CO2',1638.0
1666161483436,816210,'TEMPERATURE',18.76
1666161483477,816211,'HUMIDITY',65.18
1666161483527,816220,'LIGHT',931.66
1666161483529,816225,'CO2',1631.0
1666161489576,822350,'TEMPERATURE',18.76
1666161489577,822351,'HUMIDITY',65.18
1666161489579,822360,'LIGHT',929.99
1666161489581,822366,'CO2',1635.0
1666161495762,828491,'TEMPERATURE',18.76
1666161495813,828492,'HUMIDITY',65.18
1666161495814,828501,'LIGHT',929.99
1666161495909,828508,'CO2',1635.0
1666161501855,834633,'TEMPERATURE',18.76
1666161501857,834634,'HUMIDITY',65.18
1666161501858,834643,'LIGHT',931.66
1666161501859,834648,'CO2',1634.0
1666161507998,840773,'TEMPERATURE',18.76
1666161508047,840774,'HUMIDITY',65.18
1666161508048,840783,'LIGHT',929.99
1666161508095,840790,'CO2',1634.0
1666161514141,846915,'TEMPERATURE',18.76
1666161514189,846916,'HUMIDITY',65.18
1666161514191,846925,'LIGHT',929.99
1666161514245,846932,'CO2',1630.0
1666161520282,853057,'TEMPERATURE',18.76
1666161520332,853058,'HUMIDITY',65.18
1666161520334,853067,'LIGHT',929.99
1666161520428,853074,'CO2',1628.0
1666161526425,859199,'TEMPERATURE',18.76
1666161526426,859200,'HUMIDITY',65.18
1666161526428,859209,'LIGHT',929.99
1666161526429,859216,'CO2',1629.0
1666161532573,865341,'TEMPERATURE',18.76
1666161532574,865342,'HUMIDITY',65.18
1666161532715,865351,'LIGHT',929.99
1666161532716,865358,'CO2',1629.0
1666161538711,871483,'TEMPERATURE',18.76
1666161538712,871484,'HUMIDITY',65.18
1666161538876,871493,'LIGHT',929.99
1666161538877,871500,'CO2',1628.0
1666161544859,877625,'TEMPERATURE',18.76
1666161544860,877626,'HUMIDITY',65.18
1666161544861,877635,'LIGHT',929.99
1666161544863,877642,'CO2',1630.0
1666161550995,883767,'TEMPERATURE',18.76
1666161550996,883768,'HUMIDITY',65.18
1666161550997,883777,'LIGHT',932.49
1666161550998,883784,'CO2',1649.0
1666161557186,889909,'TEMPERATURE',18.76
1666161557236,889910,'HUMIDITY',65.18
1666161557283,889919,'LIGHT',929.99
1666161557285,889926,'CO2',1663.0
1666161563328,896051,'TEMPERATURE',18.76
1666161563378,896052,'HUMIDITY',65.18
1666161563429,896061,'LIGHT',930.83
1666161563430,896068,'CO2',1662.0
1666161569427,902193,'TEMPERATURE',18.76
1666161569472,902194,'HUMIDITY',65.18
1666161569473,902203,'LIGHT',929.99
1666161569473,902210,'CO2',1662.0
1666161575566,908335,'TEMPERATURE',18.76
1666161575662,908336,'HUMIDITY',65.18
1666161575664,908345,'LIGHT',930.83
1666161575761,908352,'CO2',1662.0
1666161581706,914477,'TEMPERATURE',18.76
1666161581708,914478,'HUMIDITY',65.18
1666161581756,914487,'LIGHT',928.33
1666161581758,914494,'CO2',1662.0
1666161587947,920619,'TEMPERATURE',18.76
1666161587948,920620,'HUMIDITY',65.18
1666161587949,920629,'LIGHT',929.16
1666161587951,920636,'CO2',1665.0
1666161593999,926761,'TEMPERATURE',18.76
1666161594000,926762,'HUMIDITY',65.18
1666161594001,926771,'LIGHT',931.66
1666161594002,926778,'CO2',1669.0
1666161600135,932903,'TEMPERATURE',18.76
1666161600136,932904,'HUMIDITY',65.18
1666161600137,932913,'LIGHT',929.16
1666161600138,932920,'CO2',1668.0
1666161606282,939045,'TEMPERATURE',18.76
1666161606326,939046,'HUMIDITY',65.18
1666161606327,939055,'LIGHT',929.16
1666161606375,939062,'CO2',1668.0
1666161612419,945187,'TEMPERATURE',18.76
1666161612420,945188,'HUMIDITY',65.18
1666161612469,945197,'LIGHT',929.16
1666161612471,945204,'CO2',1668.0
1666161618562,951329,'TEMPERATURE',18.76
1666161618563,951330,'HUMIDITY',65.18
1666161618564,951339,'LIGHT',934.16
1666161618566,951346,'CO2',1666.0
1666161624755,957471,'TEMPERATURE',18.76
1666161624756,957472,'HUMIDITY',65.18
1666161624757,957481,'LIGHT',931.66
1666161624802,957488,'CO2',1658.0
1666161630847,963613,'TEMPERATURE',18.76
1666161630896,963614,'HUMIDITY',65.18
1666161630898,963623,'LIGHT',932.49
1666161630900,963631,'CO2',1658.0
1666161636990,969756,'TEMPERATURE',18.76
1666161636991,969757,'HUMIDITY',65.18
1666161637038,969766,'LIGHT',933.33
1666161637040,969771,'CO2',1653.0
1666161643131,975896,'TEMPERATURE',18.76
1666161643132,975897,'HUMIDITY',65.18
1666161643278,975906,'LIGHT',932.49
1666161643326,975913,'CO2',1655.0
1666161649323,982038,'TEMPERATURE',18.76
1666161649374,982039,'HUMIDITY',65.18
1666161649376,982048,'LIGHT',932.49
1666161649377,982055,'CO2',1655.0
1666161655417,988179,'TEMPERATURE',18.76
1666161655478,988180,'HUMIDITY',65.18
1666161655479,988187,'LIGHT',932.49
1666161655514,988194,'CO2',1654.0
1666161661560,994319,'TEMPERATURE',18.76
1666161661562,994320,'HUMIDITY',65.18
1666161661609,994329,'LIGHT',932.49
1666161661610,994336,'CO2',1646.0
1666161667805,1000461,'TEMPERATURE',18.76
1666161667849,1000462,'HUMIDITY',65.18
1666161667850,1000471,'LIGHT',936.66
1666161667852,1000478,'CO2',1645.0
1666161673843,1006602,'TEMPERATURE',18.76
1666161673895,1006603,'HUMIDITY',65.18
1666161673945,1006612,'LIGHT',931.66
1666161673946,1006617,'CO2',1643.0
1666161679987,1012742,'TEMPERATURE',18.76
1666161680041,1012743,'HUMIDITY',65.18
1666161680042,1012750,'LIGHT',931.66
1666161680043,1012757,'CO2',1640.0
1666161686132,1018881,'TEMPERATURE',18.76
1666161686133,1018882,'HUMIDITY',65.18
1666161686134,1018890,'LIGHT',933.33
1666161686135,1018897,'CO2',1640.0
1666161692234,1025021,'TEMPERATURE',18.76
1666161692272,1025022,'HUMIDITY',65.18
1666161692274,1025031,'LIGHT',932.49
1666161692275,1025038,'CO2',1637.0
1666161698366,1031163,'TEMPERATURE',18.76
1666161698463,1031164,'HUMIDITY',65.18
1666161698464,1031173,'LIGHT',932.49
1666161698561,1031179,'CO2',1634.0
1666161704507,1037303,'TEMPERATURE',18.76
1666161704654,1037304,'HUMIDITY',65.18
1666161704709,1037312,'LIGHT',932.49
1666161704710,1037319,'CO2',1632.0
1666161710699,1043443,'TEMPERATURE',18.76
1666161710747,1043444,'HUMIDITY',65.18
1666161710944,1043451,'LIGHT',934.16
1666161710945,1043459,'CO2',1619.0
1666161716806,1049584,'TEMPERATURE',18.76
1666161716807,1049585,'HUMIDITY',65.18
1666161716809,1049592,'LIGHT',932.49
1666161716841,1049601,'CO2',1603.0
1666161723032,1055726,'TEMPERATURE',18.76
1666161723131,1055727,'HUMIDITY',65.18
1666161723132,1055734,'LIGHT',932.49
1666161723229,1055740,'CO2',1601.0
1666161729078,1061864,'TEMPERATURE',18.76
1666161729080,1061865,'HUMIDITY',65.18
1666161729081,1061873,'LIGHT',932.49
1666161729128,1061879,'CO2',1600.0
1666161735286,1068004,'TEMPERATURE',18.76
1666161735287,1068005,'HUMIDITY',65.18
1666161735365,1068014,'LIGHT',932.49
1666161735415,1068020,'CO2',1600.0
1666161741411,1074145,'TEMPERATURE',18.76
1666161741461,1074146,'HUMIDITY',65.18
1666161741462,1074155,'LIGHT',932.49
1666161741463,1074161,'CO2',1602.0
1666161747507,1080285,'TEMPERATURE',18.76
